type,time,one,two,three
4,510711610790006,0.038483378,0.0014507623,-0.002519745
1,510707315833600,0.02871387,6.346663,7.4359956
1,510711611320006,0.047856454,6.3394847,7.656434
4,510703022341620,0.0219905,-0.018707197,-0.016569233
4,510707317822923,0.01343864,-0.01809635,-0.004352287
1,510703022871620,-0.15074782,6.3370914,7.52453
4,510711613309329,0.04214846,2.2906772E-4,-0.0031305922
1,510707318352923,0.023928227,6.346663,7.4240313
1,510711613839329,0.04546363,6.3418775,7.622935
4,510703024860943,0.020768806,-0.022983128,-0.014125843
4,510707320342298,0.014049487,-0.02481567,-0.004352287
1,510703025390943,-0.15792629,6.3275204,7.510173
4,510711615828704,0.040926766,0.0026724567,-6.8720314E-4
1,510707320872298,0.014356935,6.3658056,7.433603
6,510711615926308,984.1682,0.0,0.0
1,510711616358704,0.050249275,6.3275204,7.5942206
4,510703027380318,0.015882028,-0.0290916,-0.013514996
4,510707322861620,0.010384403,-0.030313294,-0.004963134
1,510703027910318,-0.18903299,6.322735,7.5053873
4,510711618348027,0.04214846,8.39915E-4,-6.8720314E-4
1,510707323391620,0.0023928226,6.36102,7.4527454
1,510711618878027,0.05742774,6.332306,7.5532436
4,510703029899641,0.015271181,-0.03153499,-0.011682454
4,510707325380995,0.014049487,-0.04008685,-0.0037414394
1,510703030429641,-0.20817557,6.329913,7.4886374
4,510711620867402,0.04214846,0.0026724567,-6.8720314E-4
1,510707325910995,0.0047856453,6.349056,7.481459
1,510711621397402,0.04546363,6.329913,7.548458
4,510703032418964,0.01343864,-0.037032615,-0.011682454
4,510707327900318,0.01343864,-0.045584477,-0.0037414394
1,510703032948964,-0.21296121,6.332306,7.495816
4,510711623386725,0.03970507,0.0014507623,-7.635591E-5
1,510707328430318,-0.0023928226,6.3658056,7.483852
1,510711623916725,0.050249275,6.3251276,7.5269227
4,510703034938339,0.009773556,-0.039476003,-0.0092390645
4,510707330419641,0.014660334,-0.0510821,-0.0055739814
1,510703035468339,-0.2009971,6.332306,7.5053873
4,510711625906100,0.039094225,0.0038941512,0.0017561859
1,510707330949641,-0.011964113,6.3514485,7.49103
1,510711626436100,0.04546363,6.3107705,7.500602
4,510703037457662,0.007330167,-0.04314109,-0.0086282175
4,510707332939016,0.014049487,-0.05596888,-0.0037414394
1,510703037987662,-0.20578274,6.3179493,7.500602
4,510711628425423,0.03970507,0.0038941512,0.0041995747
1,510707333469016,-0.033499517,6.3370914,7.495816
1,510711628955423,0.03589234,6.329913,7.4886374
4,510703039976985,0.008551862,-0.04680617,-0.007406523
4,510707335458339,0.015882028,-0.059633963,-0.0037414394
1,510703040506985,-0.22971097,6.305985,7.49103
6,510707335921516,984.1636,0.0,0.0
4,510711630944798,0.035429142,0.0038941512,0.0041995747
1,510707335988339,-0.021535404,6.356234,7.49103
1,510711631474798,0.033499517,6.3275204,7.483852
4,510703042496360,0.007330167,-0.045584477,-0.007406523
4,510707337977714,0.016492875,-0.061466504,-0.0019088977
1,510703043026360,-0.22731815,6.2844496,7.5053873
4,510711633464120,0.03603999,0.0014507623,0.0029778804
1,510707338507714,-0.011964113,6.3658056,7.4790664
1,510711633994120,0.03589234,6.3418775,7.4718876
4,510703045015683,0.0030542363,-0.045584477,-0.004963134
4,510707340497037,0.016492875,-0.06207735,-0.002519745
1,510703045545683,-0.21296121,6.265307,7.493423
4,510711635983495,0.03115321,2.2906772E-4,0.0035887277
1,510707341027037,-0.0071784677,6.3681984,7.4862447
1,510711636513495,0.04546363,6.3346987,7.4718876
4,510703047535058,6.1084726E-4,-0.04253024,-0.0037414394
4,510707343016412,0.016492875,-0.063909896,0.0023670332
1,510703048065058,-0.21296121,6.2605214,7.4862447
4,510711638502818,0.029931515,-9.926268E-4,0.005421269
1,510707343546412,-0.0071784677,6.3658056,7.4766736
1,510711639032818,0.062213387,6.3418775,7.481459
4,510703050054381,-0.0012216945,-0.04497363,-0.0031305922
4,510707345535735,0.017714571,-0.059633963,0.0041995747
1,510703050584381,-0.20338993,6.2581286,7.5053873
4,510711641022193,0.028098974,-0.003436016,0.005421269
1,510707346065735,-0.0023928226,6.36102,7.467102
1,510711641552193,0.038285162,6.3538413,7.4790664
4,510703052573756,-0.005497625,-0.044362783,-0.0012980504
4,510707348055058,0.018325418,-0.057190575,0.005421269
1,510703053103756,-0.18903299,6.253343,7.50778
4,510711643541516,0.026266431,-0.0077119465,0.0041995747
1,510707348585058,-0.0071784677,6.349056,7.4766736
1,510711644071516,0.02871387,6.346663,7.481459
4,510703055093079,-0.007941014,-0.04253024,-7.635591E-5
4,510707350574433,0.017103724,-0.055358034,0.0066429637
1,510703055623079,-0.18903299,6.241379,7.52453
6,510703055920527,984.17554,0.0,0.0
4,510711646060891,0.025044737,-0.009544488,0.0035887277
1,510707351104433,0.011964113,6.36102,7.4766736
1,510711646590891,0.02632105,6.3418775,7.4766736
4,510703057612402,-0.009773556,-0.040697698,0.0029778804
4,510707353093756,0.01343864,-0.052303795,0.007864659
1,510703058142402,-0.18424734,6.2605214,7.538887
4,510711648580214,0.026266431,-0.012598725,0.004810422
1,510707353623756,0.014356935,6.3753767,7.4623165
1,510711649110214,0.03589234,6.358627,7.4766736
4,510703060131777,-0.012216945,-0.034589227,0.005421269
4,510707355613131,0.012216945,-0.04924956,0.007864659
1,510703060661777,-0.16031912,6.279664,7.5699935
4,510711651099589,0.025044737,-0.015042114,0.005421269
1,510707356143131,0.014356935,6.36102,7.4766736
1,510711651629589,0.02632105,6.370591,7.495816
4,510703062651100,-0.015271181,-0.030924143,0.007864659
4,510707358132454,0.009773556,-0.04741702,0.007864659
1,510703063181100,-0.13399807,6.2868423,7.596614
4,510711653618912,0.023823043,-0.016874656,0.0060321167
1,510707358662454,0.040677983,6.372984,7.4718876
1,510711654148912,0.04546363,6.36102,7.5053873
4,510703065170423,-0.017714571,-0.02725906,0.009086353
4,510707360651829,0.00671932,-0.04314109,0.008475506
1,510703065700423,-0.11485548,6.2748785,7.6253276
6,510711655925995,984.1743,0.0,0.0
4,510711656138287,0.023823043,-0.015042114,0.007253811
1,510707361181829,0.069391854,6.3753767,7.4527454
1,510711656668287,0.038285162,6.3658056,7.510173
4,510703067689798,-0.021379653,-0.022983128,0.011529742
4,510707363171152,0.0036650836,-0.04008685,0.008475506
1,510703068219798,-0.10289137,6.255736,7.6420774
4,510711658657610,0.02260135,-0.013209572,0.0060321167
1,510707363701152,0.076570325,6.3753767,7.4623165
1,510711659187610,0.050249275,6.372984,7.50778
4,510703070209120,-0.02015796,-0.022372281,0.013362284
4,510707365690475,-6.1084726E-4,-0.034589227,0.0066429637
1,510703070739120,-0.09571291,6.255736,7.673184
4,510711661176985,0.023823043,-0.011987877,0.005421269
1,510707366220475,0.10289137,6.3777695,7.4862447
1,510711661706985,0.06699903,6.3849483,7.5149584
4,510703072728495,-0.021379653,-0.020539738,0.011529742
4,510707368209850,-0.004275931,-0.0290916,0.0066429637
1,510703073258495,-0.059820566,6.2581286,7.689934
4,510711663696308,0.0219905,-0.009544488,0.005421269
1,510707368739850,0.10767702,6.387341,7.5029945
1,510711664226308,0.059820566,6.36102,7.5197444
4,510703075247818,-0.018325418,-0.021150587,0.012140589
4,510707370729173,-0.007330167,-0.019928891,0.0060321167
1,510703075777818,-0.033499517,6.2437716,7.701898
4,510711666215683,0.023823043,-0.012598725,0.004810422
1,510707371259173,0.11246266,6.396912,7.5269227
1,510711666745683,0.06460621,6.358627,7.538887
4,510703077767141,-0.015882028,-0.022983128,0.012751437
4,510707373248548,-0.012827792,-0.012598725,0.007253811
1,510703078297141,-0.038285162,6.2461643,7.7210402
4,510711668735006,0.021379653,-0.009544488,0.0029778804
1,510707373778548,0.1268196,6.401698,7.538887
1,510711669265006,0.05503492,6.363413,7.5556364
4,510703080286516,-0.015271181,-0.022983128,0.012140589
4,510707375767870,-0.014049487,-0.005879405,0.0060321167
1,510703080816516,-0.033499517,6.2605214,7.7258263
6,510707375921360,984.178,0.0,0.0
4,510711671254381,0.021379653,-0.012598725,0.0011453386
1,510707376297870,0.124426775,6.3825555,7.579864
1,510711671784381,0.059820566,6.372984,7.5604224
4,510703082805839,-0.01099525,-0.022983128,0.013973131
4,510707378287245,-0.018325418,0.0026724567,0.004810422
