type,time,one,two,three
4,511615365408881,-0.15927842,0.009468133,0.0981937
4,511632545334274,-0.58442813,-0.24403349,-0.3825431
4,511581005742423,-0.005726693,0.0075592347,-0.0015271181
1,511598186064402,0.6655038,5.3629136,8.546864
1,511615365938881,0.6056832,5.5926247,8.159226
1,511632545864274,0.62721866,5.3700924,8.601898
1,511581006272423,0.33050862,5.10419,8.463115
4,511602481126589,-0.47852248,0.97277427,0.45668468
4,511619661015056,0.53594214,0.17019732,0.07559235
4,511585301311902,0.13293563,-0.30397287,-0.2519745
1,511602481656589,1.1539388,5.432306,7.5053873
1,511619661545056,0.622433,4.982156,8.302795
1,511585301841902,1.0893325,5.604589,8.446364
4,511606776723464,0.05841227,-0.041308545,0.07795938
4,511589596886381,0.13232478,-0.044362783,0.070018366
4,511623956625212,0.2940466,-0.4278985,-0.10949437
1,511606777253464,1.0845468,5.8414783,7.7617183
1,511589597416381,1.3070793,6.1624155,7.3953176
1,511623957155212,0.52193445,5.9614186,8.207083
4,511611072324193,-0.0038941512,-0.01565296,-0.003970507
4,511593892467058,-0.20058697,0.40774053,0.2917559
4,511628252238285,-0.01809635,0.098117344,0.1317903
1,511611072854193,1.0582259,5.1400824,8.082356
1,511593892997058,1.3860425,5.745765,7.912466
1,511628252768285,0.72771716,5.413163,8.278867
4,511598188053829,-0.04909685,-0.06879667,-0.035123717
4,511615367928308,-0.17210622,0.011911522,0.09513946
4,511632547853701,-0.5697678,-0.22937314,-0.36910444
4,511581008261798,-0.0051158457,0.003283304,-9.162709E-4
6,511606778183152,984.0447,0.0,0.0
1,511598188583829,0.68225354,5.3629136,8.570791
1,511615368458308,0.6128617,5.575875,8.183154
1,511632548383701,0.57457656,5.4035916,8.647362
1,511581008791798,0.34965122,5.0970116,8.48465
4,511602483646016,-0.48402008,0.97582847,0.45118704
4,511619663534431,0.5066214,0.10605835,0.06154286
4,511585303831277,0.14393088,-0.3082488,-0.26724568
1,511602484176016,1.1419746,5.389235,7.5580297
1,511619664064431,0.60807604,4.9677987,8.199904
1,511585304361277,1.082154,5.599803,8.463115
4,511606779242891,0.05413634,-0.04008685,0.08773294
4,511589599405756,0.13354649,-0.030924143,0.06207735
4,511623959144639,0.31298286,-0.41690326,-0.10277505
1,511606779772891,1.1156535,5.853442,7.7210402
1,511589599935756,1.3238292,6.1648083,7.361818
1,511623959674639,0.581755,5.9087763,8.192725
4,511611074843621,-0.003283304,-0.010766183,-0.003970507
4,511593894986485,-0.21158221,0.39979953,0.29236677
4,511628254757712,-0.028480753,0.101171575,0.11957335
1,511611075373621,1.0510473,5.1664033,8.079964
1,511593895516485,1.3692927,5.7577295,7.929216
1,511628255287712,0.7181459,5.3533425,8.336295
4,511598190573256,-0.051540237,-0.06452074,-0.035734564
4,511615370447683,-0.18920994,0.019241689,0.09208523
4,511632550373129,-0.5477773,-0.21410197,-0.35261157
4,511581010781173,-8.39915E-4,0.0045049987,-0.0015271181
1,511598191103256,0.6870392,5.384449,8.582756
1,511615370977683,0.60329044,5.5782676,8.214261
1,511632550903129,0.52193445,5.4299126,8.692825
1,511581011311173,0.32093734,5.111368,8.5014
4,511602486165391,-0.49501535,0.9746068,0.4481328
4,511619666053858,0.47546825,0.04314109,0.049936764
4,511585306350704,0.15492614,-0.31191388,-0.2831277
1,511602486695391,1.1276177,5.358128,7.603792
1,511619666583858,0.60329044,4.9677987,8.1230345
1,511585306880704,1.07019,5.5950174,8.479864
4,511606781762318,0.049860407,-0.04924956,0.094452254
4,511589601925183,0.13171394,-0.016263809,0.05413634
4,511623961664066,0.33619505,-0.4046863,-0.100331664
1,511606782292318,1.1324034,5.877371,7.6947193
1,511589602455183,1.3046865,6.1695943,7.3307114
1,511623962194066,0.63200426,5.877371,8.202297
4,511611077363048,-0.005726693,-0.009544488,3.0542363E-4
4,511593897505860,-0.2189124,0.39002597,0.29236677
4,511628257277139,-0.037643462,0.09994988,0.10735641
1,511611077893048,1.0438689,5.183153,8.082356
1,511593898035860,1.3716856,5.745765,7.945966
1,511628257807139,0.6750751,5.293223,8.37458
4,511598193092631,-0.05276193,-0.063909896,-0.038177952
4,511615372967110,-0.20631365,0.019852536,0.087809294
6,511593898176850,984.02075,0.0,0.0
4,511632552892556,-0.52639765,-0.19455485,-0.33123192
4,511581013300600,3.8177954E-4,0.003283304,-0.00335966
6,511628258193389,984.0266,0.0,0.0
1,511598193622631,0.69182485,5.391628,8.623434
1,511615373497110,0.62482584,5.547161,8.245368
1,511632553422556,0.46929234,5.4466624,8.738588
1,511581013830600,0.30418757,5.10419,8.491829
4,511602488684818,-0.5066214,0.96849835,0.4438569
4,511619668573285,0.44248247,-0.013744064,0.038941514
4,511585308870079,0.16592139,-0.31008133,-0.29962057
1,511602489214818,1.1060823,5.329115,7.6516485
1,511619669103285,0.5937191,5.003691,8.048857
1,511585309400079,1.0630114,5.5782676,8.508578
4,511606784281693,0.04314109,-0.05413634,0.09872819
4,511589604444558,0.1298814,-0.006490252,0.046729814
4,511623964183493,0.36062896,-0.39185852,-0.097277425
1,511606784811693,1.1347961,5.8893347,7.6683984
1,511589604974558,1.3214363,6.181558,7.2996044
1,511623964713493,0.689432,5.8079786,8.2094755
4,511611079882475,-0.012446013,-0.009544488,3.0542363E-4
4,511593900025287,-0.23112933,0.37780902,0.2911451
4,511628259796566,-0.04741702,0.09323056,0.0981937
1,511611080412475,1.0534402,5.1664033,8.089535
1,511593900555287,1.3740784,5.7577295,7.960323
1,511628260326566,0.62961143,5.211867,8.436793
4,511598195612058,-0.04909685,-0.066353284,-0.04367558
4,511615375486537,-0.21791977,0.022295926,0.08353336
4,511632555411983,-0.50257456,-0.17134266,-0.30740887
4,511581015819975,0.001603474,0.003283304,-0.0015271181
1,511598196142058,0.6966105,5.341378,8.65454
1,511615376016537,0.62721866,5.5184474,8.276474
1,511632555941983,0.41665024,5.465805,8.7673025
1,511581016349975,0.2970091,5.1161537,8.494222
4,511602491204246,-0.5145625,0.95994645,0.4401918
4,511619671092712,0.40216658,-0.064444385,0.024892027
4,511585311389506,0.18058172,-0.30885965,-0.3130592
1,511602491734246,1.0725827,5.286044,7.7090764
1,511619671622712,0.62482584,5.0132627,7.9818583
1,511585311919506,1.0079765,5.587839,8.5349
4,511606786801121,0.034589227,-0.06207735,0.101171575
4,511589606963985,0.12621632,0.00633754,0.036956258
4,511623966702920,0.39178216,-0.38208497,-0.09544489
1,511606787331121,1.16351,5.8944197,7.632506
1,511589607493985,1.2999009,6.1935225,7.2613196
1,511623967232920,0.73011,5.750551,8.195119
