type,time,one,two,three
-3,35405625789586,0.0,0.0,0.0
4,73553550701572,-0.010613471,0.012369657,-0.009086353
1,73553551231572,0.040677983,7.1895347,6.899704
4,73557846315791,0.073072605,2.8736546,0.36230877
1,73557846845791,4.2999024,2.9398818,9.767801
4,73553553220999,-0.010613471,0.014202199,-0.009086353
1,73553553750999,0.05742774,7.177571,6.897311
4,73557848835218,0.28511295,2.891369,0.2346417
1,73557849365218,4.0818563,3.2177482,3.8114674
4,73553555740374,-0.0075592347,0.014202199,-0.009086353
1,73553556270374,0.059820566,7.1560354,6.890133
4,73557851354645,1.7511464,3.6848598,-0.021303298
1,73557851884645,2.6814568,8.886943,-1.7524434
4,73553558259801,-0.0045049987,0.012369657,-0.009086353
1,73553558789801,0.059820566,7.158428,6.882954
4,73557853874072,3.7205944,4.364122,-0.25586864
1,73557854404072,4.1847477,12.195619,2.099702
4,73553560779228,-0.0020616094,0.012980504,-0.010308048
1,73553561309228,0.069391854,7.1512494,6.890133
4,73557856393499,5.726693,4.318919,-0.22654797
1,73557856923499,4.668397,7.7090764,8.429615
4,73553563298655,-0.0045049987,0.016034741,-0.009086353
1,73553563828655,0.04546363,7.1273212,6.8781686
4,73557858912926,6.9325056,4.2101884,-0.25586864
1,73557859442926,3.950251,5.705087,10.488639
4,73553565818082,3.8177954E-4,0.016034741,-0.009086353
1,73553566348082,0.040677983,7.1153574,6.8542404
4,73557861432353,7.4737163,3.3849337,-0.38231403
1,73557861962353,0.5554339,5.111368,13.552947
4,73553568337509,0.004046863,0.019699825,-0.010308048
1,73553568867509,0.04546363,7.1153574,6.859026
4,73557863951780,7.850609,1.5608674,-0.6016082
1,73557864481780,-3.9837506,3.6460636,13.823635
6,73557865149437,985.4905,0.0,0.0
4,73553570856884,0.005879405,0.022143213,-0.010308048
1,73553571386884,0.043070808,7.1249285,6.849455
4,73557866471207,8.038139,-0.7530983,-0.88809556
1,73557867001207,-7.498209,3.7037904,9.337093
4,73553573376312,0.010766183,0.025808297,-0.009086353
1,73553573906312,0.031106694,7.1273212,6.849455
4,73557868990634,7.383311,-3.4415135,-1.1385429
1,73557869520634,-8.647362,3.612564,-0.21296121
4,73553575895739,0.013820419,0.028862532,-0.010308048
1,73553576425739,0.033499517,7.120143,6.8446693
4,73557871510062,5.905671,-5.638731,-1.3334032
1,73557872040062,-8.084749,2.1978076,-8.381759
4,73553578415166,0.012598725,0.03130592,-0.010918895
