type,time,one,two,three
1,362532860521578,-0.1794617,6.090631,7.744969
4,362545745438245,-0.021379653,-0.017409148,0.02481567
1,362537155664495,-0.14596218,5.8893347,7.953144
4,362550040598870,0.026266431,-0.00335966,-0.014278554
1,362541450813453,-0.3065804,5.4729834,8.365009
4,362554335764443,-0.026266431,0.02107423,-0.0075592347
1,362545745968245,0.17228323,5.956633,7.4527454
4,362558630935172,0.054976255,-0.25502872,-0.01305686
4,362498501499517,0.07841752,-0.13018683,-0.0029778804
1,362550041128870,-0.09332009,5.5447683,8.254939
4,362562926109859,-0.010384403,0.013744064,0.0052685575
4,362502796620350,0.015500249,-0.012904149,0.01901262
1,362554336294443,-0.28983065,5.8271213,7.8023963
4,362507091740975,0.18959172,0.17645851,-0.060397524
4,362567221287463,0.02687728,-0.014965758,-0.050318543
6,362498501861704,997.0891,0.0,0.0
1,362558631465172,0.5386842,6.1289163,8.001
4,362511386862225,0.0045049987,-0.014736691,-0.010918895
4,362571516467516,-0.036650836,0.02107423,-0.023441264
1,362498502029517,0.9409775,6.1265235,7.5580297
4,362515681984934,0.021608721,-0.03000787,0.0037414394
6,362532861859547,997.0774,0.0,0.0
1,362562926639859,-0.24646074,5.796015,7.740183
1,362502797150350,0.49800622,6.3394847,7.548458
4,362519977110849,0.0069483877,0.03840702,-0.010308048
1,362507092270975,-0.12203395,6.148059,8.048857
1,362567221817463,0.05503492,5.4873405,8.513364
6,362567221883245,997.09717,0.0,0.0
4,362524272239651,-0.023823043,9.162709E-4,-0.003283304
1,362511387392225,0.15553348,5.843871,8.601898
1,362571516997516,-0.30418757,5.786443,7.8670025
4,362528567373141,-0.034818295,0.049784053,-0.022830416
1,362515682514934,-0.06699903,5.9231334,8.068
4,362532862510745,0.008551862,-0.021685077,-0.0075592347
1,362519977640849,-0.086141616,6.006882,8.144869
4,362537157653661,-0.05131117,-0.024128467,0.0022143214
1,362524272769651,0.09571291,5.776872,7.9914293
4,362541452802620,0.08185353,0.09193251,-0.025273805
1,362528567903141,-0.6439684,6.1887364,7.8837523
1,362532863040745,-0.16271193,6.090631,7.7497544
4,362545747957359,-0.028709821,-0.018630842,0.02725906
1,362537158183661,-0.12203395,5.8797636,7.986644
4,362550043118036,0.034818295,-0.008246438,-0.014889402
1,362541453332620,-0.27038896,5.4442697,8.3530445
4,362554338283557,-0.030542362,0.018019995,-0.005726693
1,362545748487359,0.21296121,5.985347,7.469495
4,362558633454338,0.0659715,-0.25014195,-0.028328042
4,362498504018631,0.07353074,-0.13018683,-0.008475506
1,362550043648036,-0.12921242,5.549554,8.262117
4,362562928629026,-0.015271181,0.015576605,0.0046577104
4,362502799139517,0.015500249,-0.017790927,0.018401774
1,362554338813557,-0.28743783,5.81755,7.8167534
4,362507094260090,0.22868595,0.15813309,-0.057343286
4,362567223806630,0.040926766,0.019241689,-0.047875155
1,362558633984338,0.56500524,6.1528444,7.95793
4,362511389381340,0.027717194,-0.0031305922,-0.010308048
4,362571518986682,-0.031764057,0.02107423,-0.022830416
1,362498504548631,0.9385847,6.131309,7.562815
4,362515684504048,0.020997874,-0.03000787,0.002519745
1,362562929159026,-0.2416751,5.8127646,7.77129
1,362502799669517,0.48364928,6.322735,7.565208
4,362519979629963,0.012446013,0.025579229,-0.009086353
1,362507094790090,-0.12921242,6.2030935,7.969894
1,362567224336630,0.078963146,5.5423756,8.489435
4,362524274758766,-0.02260135,0.008857286,-0.0026724567
1,362511389911340,0.17467605,5.846264,8.623434
1,362571519516682,-0.28743783,5.764908,7.9148593
4,362528569892307,-0.030542362,0.04795151,-0.020387027
1,362515685034048,-0.047856454,5.951847,8.084749
4,362532865029859,0.008551862,-0.024739314,-0.0045049987
1,362519980159963,-0.10049855,6.0164533,8.144869
4,362537160172776,-0.04703524,-0.02779355,-8.39915E-4
1,362524275288766,0.12203395,5.776872,8.048857
4,362541455321734,0.08674031,0.06810947,-0.03077143
1,362528570422307,-0.62482584,6.1767726,7.852646
1,362532865559859,-0.14117654,6.093024,7.744969
4,362545750476526,-0.036650836,-0.015576605,0.026037365
1,362537160702776,-0.11006984,5.8630137,8.022536
4,362550045637203,0.04031592,-0.011300675,-0.01733279
1,362541455851734,-0.26799613,5.42752,8.307581
4,362554340802724,-0.031764057,0.011300675,-0.0038941512
1,362545751006526,0.2440679,6.023632,7.4790664
4,362558635973505,0.07146913,-0.23975755,-0.045431767
4,362498506537746,0.07353074,-0.1338519,-0.011529742
1,362550046167203,-0.15074782,5.5519466,8.23819
4,362562931148193,-0.018936265,0.016798299,0.004046863
4,362502801658631,0.016111096,-0.024510246,0.01718008
1,362554341332724,-0.27038896,5.791229,7.8693953
4,362507096779204,0.25189814,0.13614258,-0.053678203
4,362567226325797,0.05131117,0.046118967,-0.04665346
1,362558636503505,0.5626124,6.181558,7.893324
4,362511391900454,0.046042614,0.008475506,-0.010308048
6,362519981864859,997.14185,0.0,0.0
4,362571521505901,-0.026266431,0.024128467,-0.024052111
1,362498507067746,0.92662054,6.1193447,7.5580297
4,362515687023215,0.025273805,-0.03061872,0.0037414394
1,362562931678193,-0.22971097,5.8247285,7.785647
1,362502802188631,0.47886363,6.2988067,7.574779
6,362554341845120,997.12646,0.0,0.0
4,362519982149078,0.022219568,0.017638214,-0.009086353
