type,time,one,two,three
-1,219649743,0.0,0.0,0.0
-27,219651020,555.0293,1965.1641,0.0
1,430437798113426,0.148355,5.372485,8.286046
4,430429209480145,-0.6578825,-0.08025006,-0.06879667
4,430433504795978,-0.14599249,0.07681404,0.06742226
1,430429210010145,0.6415756,5.1065826,7.919645
4,430437800102645,-0.042759307,-0.010537115,-0.012598725
1,430433505325978,0.86201435,5.4634123,8.18794
1,430437800632645,0.14117654,5.3700924,8.286046
6,430433506229780,986.8113,0.0,0.0
4,430429211999415,-0.68292725,-0.06306998,-0.06757498
4,430433507315249,-0.15087928,0.09269607,0.065589726
1,430429212529415,0.6008976,5.0802617,8.001
4,430437802621915,-0.0452027,-0.009315421,-0.01137703
1,430433507845249,0.8811569,5.4753766,8.149654
1,430437803151915,0.13399807,5.3772707,8.300403
4,430429214518634,-0.6963659,-0.046577103,-0.06574243
4,430433509834467,-0.15820944,0.11468657,0.065589726
1,430429215048634,0.5482555,5.061119,8.089535
4,430437805141134,-0.047646087,-0.0056503373,-0.010766183
1,430433510364467,0.8859426,5.482555,8.096714
1,430437805671134,0.124426775,5.386842,8.307581
4,430429217037905,-0.6969767,-0.033138465,-0.06574243
4,430433512353738,-0.1655396,0.13423368,0.06192464
1,430429217567905,0.5195416,5.046762,8.190332
4,430437807660353,-0.051922016,-0.008093726,-0.008933641
1,430433512883738,0.88354975,5.4753766,8.068
1,430437808190353,0.1363909,5.401199,8.343473
4,430429219557124,-0.6920899,-0.019088976,-0.063299045
4,430433514872957,-0.17348062,0.1525591,0.0600921
1,430429220087124,0.47886363,5.037191,8.286046
4,430437810179624,-0.054976255,-0.0062611843,-0.008933641
1,430433515402957,0.89072824,5.4849477,8.058429
1,430437810709624,0.1268196,5.408377,8.355437
4,430429222076395,-0.67926216,-0.0025961008,-0.06024481
4,430433517392228,-0.18447587,0.17271706,0.059481252
1,430429222606395,0.44775695,5.020441,8.403294
4,430437812698842,-0.056808796,-0.012980504,-0.0071010995
1,430433517922228,0.90508515,5.4777694,8.056036
1,430437813228842,0.11485548,5.4203415,8.362616
4,430429224595665,-0.65910417,0.008399149,-0.057190575
4,430433519911499,-0.19058435,0.1873774,0.05764871
1,430429225125665,0.3999005,5.0012984,8.510971
4,430437815218113,-0.06291727,-0.014202199,-0.0071010995
1,430433520441499,0.91226363,5.451448,8.048857
1,430437815748113,0.124426775,5.413163,8.396115
6,430429226235613,986.82495,0.0,0.0
4,430429227114884,-0.6346703,0.011453386,-0.052914646
4,430433522430717,-0.19974706,0.20142688,0.056427017
