type,time,one,two,three
-3,185846186196377,0.0,0.0,0.0
-1,277127354,0.0,0.0,0.0
-1,277127907,0.0,0.0,0.0
-27,277128605,180.08789,1457.1562,0.0
1,463006363188499,-0.26081768,6.3418775,7.493423
4,462989183455190,-0.011071607,0.101171575,-0.024892027
1,462984888581440,-0.1052842,6.7298136,6.8111696
1,463032133342614,-1.2975081,6.727421,7.153642
4,463014953572041,-0.041155834,-0.058870405,-0.01565296
1,463010658642927,-0.96490574,5.8677993,8.0345
4,462993478873575,0.066506,-0.010002624,0.01175881
1,462989183985190,-0.6583253,6.0212393,7.52453
4,463019249013656,-0.042988375,-0.096132085,-0.013209572
1,463014954102041,-0.4214359,6.133702,7.993822
4,462997774304148,-0.026953636,0.14698513,0.047798797
1,462993479403575,-0.25842485,5.9470615,8.106285
4,463023544443239,-0.018554486,-0.0051158457,-0.013209572
4,462976299828002,-0.053830914,-0.15171918,-0.0193944
1,463019249543656,-0.28983065,5.992525,7.888538
4,463002069734773,-0.04833329,-0.016111096,0.015423893
1,462997774834148,-0.21774685,5.8390856,7.984251
4,462980595186388,-0.03917058,0.013209572,-0.010842538
4,463027839877562,-0.047875155,0.10972344,0.061313793
1,463023544973239,-0.23449662,5.853442,7.9746795
1,462976300358002,0.09810573,5.9303117,7.9627156
4,463006365177822,0.07368345,0.0742943,0.024052111
1,463002070264773,-0.18664017,5.9207406,7.9220376
4,462984890570710,-0.20654273,0.22639526,0.044133715
6,463002070498627,988.88745,0.0,0.0
1,462980595716388,0.1794617,5.8821564,7.9555373
4,463032135331937,-0.06253549,-0.049707696,0.011835165
1,463027840407562,-0.021535404,6.167201,7.943573
4,463010660632302,-0.02893889,0.057190575,0.022219568
1,463006365707822,-0.2536392,6.3418775,7.4647093
4,462989185974513,-0.013514996,0.09139802,-0.023059484
1,462984891100710,-0.11964113,6.710671,6.849455
1,463032135861937,-1.2999009,6.727421,7.1751776
4,463014956091364,-0.03504736,-0.05581617,-0.010766183
1,463010661162302,-0.9553344,5.8486567,8.032107
4,462993481392898,0.074447006,-0.011224318,0.014813046
1,462989186504513,-0.6726823,5.999704,7.5364943
4,463019251532979,-0.033825666,-0.10162971,-0.014431266
1,463014956621364,-0.44775695,6.1695943,7.9483585
4,462997776823471,-0.04344651,0.15553698,0.05207473
1,462993481922898,-0.24646074,5.9494543,8.060822
4,463023546962562,-0.022219568,-0.00633754,-0.015042114
4,462976302347273,-0.047722444,-0.14438902,-0.022448637
1,463019252062979,-0.31615168,5.9757752,7.9555373
4,463002072254096,-0.05260922,-0.022830416,0.011147963
1,462997777353471,-0.18424734,5.846264,7.984251
4,462980597705658,-0.03489465,0.012598725,-0.010842538
4,463027842396937,-0.045431767,0.11888615,0.064978875
1,463023547492562,-0.21774685,5.8630137,7.998608
1,462976302877273,0.11485548,5.9135623,7.9818583
4,463006367697145,0.073072605,0.0742943,0.024052111
1,463002072784096,-0.16510476,5.8944197,7.929216
4,462984893090033,-0.2242573,0.23739052,0.04291202
1,462980598235658,0.17706887,5.8677993,7.986644
4,463032137851260,-0.06253549,-0.06375718,0.013667707
1,463027842926937,0.0,6.17438,7.9507513
4,463010663151624,-0.022830416,0.053525493,0.025273805
1,463006368227145,-0.25842485,6.332306,7.443174
4,462989188493783,-0.023288552,0.09139802,-0.02367033
1,462984893620033,-0.11724831,6.6771717,6.890133
1,463032138381260,-1.2831511,6.734599,7.187142
4,463014958610687,-0.02893889,-0.056427017,-0.0071010995
1,463010663681624,-0.92183495,5.8630137,8.032107
4,462993483912169,0.08238802,-0.008170082,0.015423893
1,462989189023783,-0.70378894,5.982954,7.548458
4,463019254052302,-0.024662958,-0.112014115,-0.016874656
1,463014959140687,-0.45014977,6.2007008,7.8837523
4,462997779342794,-0.058106847,0.15859123,0.05207473
1,462993484442169,-0.2440679,5.9733825,8.029715
4,463023549481833,-0.021608721,-0.0014507623,-0.016263809
4,462976304866492,-0.03672719,-0.14866495,-0.027335415
1,463019254582302,-0.33290145,5.95424,8.048857
4,463002074773419,-0.05505261,-0.031993125,0.0062611843
1,462997779872794,-0.16749759,5.853442,7.943573
4,462980600224929,-0.033672955,0.010766183,-0.01267508
4,463027844916260,-0.040544987,0.12499462,0.065589726
1,463023550011833,-0.20817557,5.877371,8.012965
1,462976305396492,0.15074782,5.8944197,8.012965
4,463006370216468,0.06574243,0.06818583,0.024052111
1,463002075303419,-0.15314065,5.8893347,7.9316087
6,462989190485710,988.90356,0.0,0.0
4,462984895609304,-0.23647425,0.243499,0.041690327
1,462980600754929,0.18185452,5.8654065,8.029715
4,463032140370635,-0.064978875,-0.07597413,0.015500249
6,463023550478395,988.9309,0.0,0.0
1,463027845446260,0.033499517,6.198308,7.943573
4,463010665670947,-0.018554486,0.045584477,0.025273805
1,463006370746468,-0.25603202,6.346663,7.4120674
4,462989191013106,-0.027564483,0.085289545,-0.020005248
1,462984896139304,-0.15553348,6.6795645,6.928418
1,463032140900635,-1.2544373,6.7561345,7.177571
4,463014961130010,-0.031382278,-0.053372778,-9.926268E-4
1,463010666200947,-0.92662054,5.872585,8.041678
4,462993486431492,0.08605311,-0.011224318,0.017867282
1,462989191543106,-0.7181459,5.956633,7.565208
4,463019256571624,-0.016111096,-0.12789614,-0.021150587
1,463014961660010,-0.43818563,6.222236,7.850253
4,462997781862117,-0.07337803,0.1622563,0.050853033
1,462993486961492,-0.2321038,5.9757752,8.001
4,463023552001156,-0.022219568,0.0022143214,-0.017485503
4,462976307385763,-0.023288552,-0.15416257,-0.034054734
1,463019257101624,-0.36400816,5.911169,8.152048
4,463002077292742,-0.06177193,-0.03993414,0.003206948
1,462997782392117,-0.15792629,5.853442,7.9363947
4,462980602744252,-0.034283802,0.008322794,-0.011453386
4,463027847435531,-0.038712446,0.13598987,0.06742226
